127.0.0.1 - - [27/Dec/2018:15:32:59 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [27/Dec/2018:15:33:01 +0900] "GET /dynair_web/ HTTP/1.1" 200 11561
0:0:0:0:0:0:0:1 - - [27/Dec/2018:15:33:01 +0900] "GET /dynair_web/images/egovframework/example/title_dot.gif;jsessionid=2014AF73269A318CBE1A609817FF8FEA HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [27/Dec/2018:15:33:01 +0900] "GET /dynair_web/css/egovframework/sample.css;jsessionid=2014AF73269A318CBE1A609817FF8FEA HTTP/1.1" 200 10111
0:0:0:0:0:0:0:1 - - [27/Dec/2018:15:33:01 +0900] "GET /dynair_web/images/egovframework/example/btn_bg_r.gif;jsessionid=2014AF73269A318CBE1A609817FF8FEA HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [27/Dec/2018:15:33:01 +0900] "GET /dynair_web/images/egovframework/cmmn/btn_page_pre10.gif HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [27/Dec/2018:15:33:01 +0900] "GET /dynair_web/images/egovframework/cmmn/btn_page_pre1.gif HTTP/1.1" 200 102
0:0:0:0:0:0:0:1 - - [27/Dec/2018:15:33:01 +0900] "GET /dynair_web/images/egovframework/cmmn/btn_page_next1.gif HTTP/1.1" 200 100
0:0:0:0:0:0:0:1 - - [27/Dec/2018:15:33:01 +0900] "GET /dynair_web/images/egovframework/cmmn/btn_page_next10.gif HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [27/Dec/2018:15:33:01 +0900] "GET /dynair_web/images/egovframework/example/btn_bg_l.gif HTTP/1.1" 200 1716
0:0:0:0:0:0:0:1 - - [27/Dec/2018:15:33:01 +0900] "GET /dynair_web/images/egovframework/example/th_bg.gif HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [27/Dec/2018:15:33:16 +0900] "GET /dynair_web HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Dec/2018:15:33:16 +0900] "GET /dynair_web/ HTTP/1.1" 200 11561
0:0:0:0:0:0:0:1 - - [27/Dec/2018:15:33:16 +0900] "GET /dynair_web/images/egovframework/example/title_dot.gif;jsessionid=E0584527906FFCD3A2C0C0D15C05C48D HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [27/Dec/2018:15:33:16 +0900] "GET /dynair_web/css/egovframework/sample.css;jsessionid=E0584527906FFCD3A2C0C0D15C05C48D HTTP/1.1" 200 10111
0:0:0:0:0:0:0:1 - - [27/Dec/2018:15:33:16 +0900] "GET /dynair_web/images/egovframework/example/btn_bg_r.gif;jsessionid=E0584527906FFCD3A2C0C0D15C05C48D HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [27/Dec/2018:15:33:16 +0900] "GET /dynair_web/images/egovframework/cmmn/btn_page_pre1.gif HTTP/1.1" 200 102
0:0:0:0:0:0:0:1 - - [27/Dec/2018:15:33:16 +0900] "GET /dynair_web/images/egovframework/cmmn/btn_page_pre10.gif HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [27/Dec/2018:15:33:16 +0900] "GET /dynair_web/images/egovframework/cmmn/btn_page_next10.gif HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [27/Dec/2018:15:33:16 +0900] "GET /dynair_web/images/egovframework/cmmn/btn_page_next1.gif HTTP/1.1" 200 100
0:0:0:0:0:0:0:1 - - [27/Dec/2018:15:33:16 +0900] "GET /dynair_web/images/egovframework/example/btn_bg_l.gif HTTP/1.1" 200 1716
0:0:0:0:0:0:0:1 - - [27/Dec/2018:15:33:16 +0900] "GET /dynair_web/images/egovframework/example/th_bg.gif HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [27/Dec/2018:15:33:20 +0900] "POST /dynair_web/egovSampleList.do;jsessionid=E0584527906FFCD3A2C0C0D15C05C48D HTTP/1.1" 200 11192
0:0:0:0:0:0:0:1 - - [27/Dec/2018:15:33:20 +0900] "GET /dynair_web/css/egovframework/sample.css HTTP/1.1" 200 10111
0:0:0:0:0:0:0:1 - - [27/Dec/2018:15:33:20 +0900] "GET /dynair_web/images/egovframework/example/btn_bg_r.gif HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [27/Dec/2018:15:33:20 +0900] "GET /dynair_web/images/egovframework/example/title_dot.gif HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [27/Dec/2018:15:33:20 +0900] "POST /dynair_web/egovSampleList.do HTTP/1.1" 200 11197
0:0:0:0:0:0:0:1 - - [27/Dec/2018:15:33:21 +0900] "POST /dynair_web/egovSampleList.do HTTP/1.1" 200 11202
